,dtype,pct_null,n_unique
pitch_type,str,0.0229,18
game_date,str,0.0,219
release_speed,Float64,0.0228,669
release_pos_x,Float64,0.0228,933
release_pos_z,Float64,0.0228,613
player_name,str,0.0,1175
batter,Int64,0.0,1435
pitcher,Int64,0.0,1178
events,str,0.7396,22
description,str,0.0,15
spin_dir,Int64,1.0,0
spin_rate_deprecated,Int64,1.0,0
break_angle_deprecated,Int64,1.0,0
break_length_deprecated,Int64,1.0,0
zone,Int64,0.0229,13
des,str,0.74,133507
game_type,str,0.0,6
stand,str,0.0,2
p_throws,str,0.0,2
home_team,str,0.0,30
away_team,str,0.0,30
type,str,0.0,3
hit_location,Int64,0.7724,9
bb_type,str,0.8235,4
balls,Int64,0.0,4
strikes,Int64,0.0,3
game_year,Int64,0.0,1
pfx_x,Float64,0.0228,454
pfx_z,Float64,0.0228,414
plate_x,Float64,0.0229,742826
plate_z,Float64,0.0229,742826
on_3b,Int64,0.9055,844
on_2b,Int64,0.8122,1000
on_1b,Int64,0.697,1127
outs_when_up,Int64,0.0,3
inning,Int64,0.0,14
inning_topbot,str,0.0,2
hc_x,Float64,0.8236,19438
hc_y,Float64,0.8236,17461
tfs_deprecated,Int64,1.0,0
tfs_zulu_deprecated,Int64,1.0,0
umpire,Int64,1.0,0
sv_id,Int64,1.0,0
vx0,Float64,0.0228,742923
vy0,Float64,0.0228,742923
vz0,Float64,0.0228,742923
ax,Float64,0.0228,742923
ay,Float64,0.0228,742922
az,Float64,0.0228,742922
sz_top,Float64,0.0229,329579
sz_bot,Float64,0.0229,321394
hit_distance_sc,Int64,0.6734,476
launch_speed,Float64,0.6734,1116
launch_angle,Int64,0.6729,181
effective_speed,Float64,0.0243,713
release_spin_rate,Int64,0.0273,3362
release_extension,Float64,0.0241,56
game_pk,Int64,0.0,2629
fielder_2,Int64,0.0,198
fielder_3,Int64,0.0,299
fielder_4,Int64,0.0,340
fielder_5,Int64,0.0,319
fielder_6,Int64,0.0,256
fielder_7,Int64,0.0,411
fielder_8,Int64,0.0,309
fielder_9,Int64,0.0,391
release_pos_y,Float64,0.0228,520
estimated_ba_using_speedangle,Float64,0.8366,783
estimated_woba_using_speedangle,Float64,0.7577,1294
woba_value,Float64,0.7396,8
woba_denom,Int64,0.7558,2
babip_value,Int64,0.7396,2
iso_value,Int64,0.7396,4
launch_speed_angle,Int64,0.8298,6
at_bat_number,Int64,0.0,114
pitch_number,Int64,0.0,16
pitch_name,str,0.0229,18
home_score,Int64,0.0,20
away_score,Int64,0.0,21
bat_score,Int64,0.0,21
fld_score,Int64,0.0,21
post_away_score,Int64,0.0,21
post_home_score,Int64,0.0,20
post_bat_score,Int64,0.0,21
post_fld_score,Int64,0.0,21
if_fielding_alignment,str,0.032,3
of_fielding_alignment,str,0.032,2
spin_axis,Int64,0.0273,361
delta_home_win_exp,Float64,0.0,952
delta_run_exp,Float64,0.0033,1311
bat_speed,Float64,0.5757,869
swing_length,Float64,0.5757,106
miss_distance,Float64,0.9016,71443
estimated_slg_using_speedangle,Float64,0.8366,1430
delta_pitcher_run_exp,Float64,0.0033,1311
hyper_speed,Float64,0.6714,315
home_score_diff,Int64,0.0,35
bat_score_diff,Int64,0.0,35
home_win_exp,Float64,0.0,1000
bat_win_exp,Float64,0.0,1240
age_pit_legacy,Int64,0.0,23
age_bat_legacy,Int64,0.0,24
age_pit,Int64,0.0,22
age_bat,Int64,0.0,24
n_thruorder_pitcher,Int64,0.0,4
n_priorpa_thisgame_player_at_bat,Int64,0.0,7
pitcher_days_since_prev_game,Int64,0.0927,119
batter_days_since_prev_game,Int64,0.0577,104
pitcher_days_until_next_game,Int64,0.0895,119
batter_days_until_next_game,Int64,0.0575,104
api_break_z_with_gravity,Float64,0.0228,938
api_break_x_arm,Float64,0.0228,453
api_break_x_batter_in,Float64,0.0228,456
arm_angle,Float64,0.0543,1202
attack_angle,Float64,0.5757,322585
attack_direction,Float64,0.5757,322585
swing_path_tilt,Float64,0.5757,322583
intercept_ball_minus_batter_pos_x_inches,Float64,0.576,322311
intercept_ball_minus_batter_pos_y_inches,Float64,0.576,322311
